op_type,district,street,rooms,area,floor,total_floors,house_seria,house_type,condition,price,lat,lon
For sale,Pļavnieki,Jasmuižas 13,4,75.0,3.0,8.0,467.,Panel,All amenities,69950.0,56.9367253,24.212928100000003
For rent,Pļavnieki,Jasmuižas 24,1,22.0,1.0,3.0,Jaun.,Panel,All amenities,235.0,56.93702645000001,24.215316510108853
For rent,centrs,Tērbatas 78,1,33.0,2.0,5.0,P. kara,Masonry,All amenities,315.0,56.961154099999995,24.1376555
For sale,Ziepniekkalns,Bērzlapu 2,2,57.0,3.0,16.0,104.,Panel,All amenities,70000.0,56.9052096,24.08455345086175
For rent,Zolitūde,Gramzdas 80,2,55.0,1.0,4.0,Jaun.,Panel,All amenities,500.0,56.94145735,24.00301883923461
For rent,Iļģuciems,Baltā 17,3,62.0,1.0,5.0,LT proj.,Panel,All amenities,350.0,56.96997710000001,24.065541014540702
For sale,Mežciems,Celmu 5,2,50.0,3.0,5.0,LT proj.,Panel,All amenities,49800.0,56.973635800000004,24.233530915029387
For sale,centrs,Brīvības iela 136,2,43.0,1.0,5.0,P. kara,Masonry,All amenities,48000.0,56.9636061,24.138865799999998
For rent,Ķengarags,Maskavas 381/7,2,49.0,3.0,3.0,Staļina,Brick,All amenities,240.0,56.944585100000005,24.1127805007715
For rent,Mežciems,Hipokrāta 41,1,32.0,8.0,9.0,602.,Panel,All amenities,260.0,56.9596666,24.236478297859165
For rent,Purvciems,Andromedas g. 12,2,51.0,3.0,5.0,LT proj.,Panel,All amenities,300.0,56.9604259,24.201209
For rent,Āgenskalns,Mūkusalas 29,2,79.0,4.0,4.0,Jaun.,Masonry,All amenities,850.0,56.93693955000001,24.10193236312368
For rent,Āgenskalns,Talsu 9,2,44.0,3.0,6.0,P. kara,Masonry,Partial amenities,280.0,56.9383464,24.071392000000003
For rent,Āgenskalns,Kalnciema 20,1,36.0,2.0,2.0,P. kara,Brick,All amenities,250.0,56.9384531,24.0507266
For rent,centrs,Sadovņikova 39a,1,30.0,3.0,5.0,P. kara,Brick,All amenities,260.0,56.94202370000001,24.135420241619396
For sale,Dārzciems,Stopiņu 12,1,37.0,1.0,1.0,Priv. m.,Brick,All amenities,22000.0,56.948532400000005,24.1730688
For rent,centrs,Vesetas 30,2,42.0,4.0,6.0,Hrušč.,Brick,All amenities,275.0,56.97172205,24.130130899999997
For rent,centrs,Sadovņikova 21,1,40.0,2.0,4.0,P. kara,Brick,All amenities,240.0,56.9421434,24.1326836
For sale,centrs,Vārnu 8,2,56.0,1.0,6.0,P. kara,Brick,All amenities,78800.0,56.95811035,24.148761165178566
For rent,centrs,Klusā 21,1,24.0,2.0,5.0,Renov.,Brick-Panel,All amenities,250.0,56.9758898,24.145391383510933
For rent,Bolderāja,Lemešu 9,1,34.0,1.0,9.0,602.,Panel,All amenities,190.0,57.033352799999996,24.055377249503106
For sale,Vecrīga,Kungu 25,3,138.0,3.0,6.0,Jaun.,Masonry,All amenities,275000.0,56.9453382,24.109463953308822
For rent,Ķengarags,Maskavas 313,1,38.0,8.0,12.0,Čehu pr.,Brick,All amenities,200.0,56.8597884,24.3083417
For sale,Zolitūde,Priedaines 13,1,56.0,1.0,4.0,Jaun.,Brick-Panel,All amenities,78000.0,56.94258129999999,24.01565897529245
For rent,centrs,Teātra 2,3,98.0,4.0,6.0,Jaun.,Brick,All amenities,1100.0,56.9481417,24.1115806
For rent,Vecrīga,Teātra 2,3,98.0,4.0,6.0,Jaun.,Brick,All amenities,1100.0,56.9481417,24.1115806
For rent,Āgenskalns,Valguma 35,2,40.0,1.0,5.0,Staļina,Brick,All amenities,390.0,56.94349035000001,24.09044395550173
For rent,centrs,Lugažu 14,1,30.0,1.0,3.0,Staļina,Brick,All amenities,270.0,56.97501495,24.106644609248
For sale,Daugavgrīva,Lēpju 13,2,54.0,3.0,5.0,103.,Brick-Panel,All amenities,34000.0,57.038959,24.022054838957786
